Product_id,product_name,price
1,product_1,146
2,product_2,59
3,product_3,30
4,product_4,410
5,product_5,39
6,product_6,404
7,product_7,439
8,product_8,339
9,product_9,140
10,product_10,406
11,product_11,322
12,product_12,234
13,product_13,221
14,product_14,101
15,product_15,116
16,product_16,146
17,product_17,172
18,product_18,248
19,product_19,321
20,product_20,450
21,product_21,56
22,product_22,17
23,product_23,463
24,product_24,333
25,product_25,161
26,product_26,352
27,product_27,148
28,product_28,305
29,product_29,327
30,product_30,142
31,product_31,209
32,product_32,396
33,product_33,205
34,product_34,254
35,product_35,360
36,product_36,485
37,product_37,384
38,product_38,55
39,product_39,394
40,product_40,274
41,product_41,255
42,product_42,466
43,product_43,136
44,product_44,462
45,product_45,437
46,product_46,249
47,product_47,340
48,product_48,193
49,product_49,405
50,product_50,53
51,product_51,273
52,product_52,456
53,product_53,302
54,product_54,334
55,product_55,100
56,product_56,84
57,product_57,340
58,product_58,179
59,product_59,29
60,product_60,59
61,product_61,453
62,product_62,219
63,product_63,196
64,product_64,161
65,product_65,250
66,product_66,158
67,product_67,118
68,product_68,288
69,product_69,375
70,product_70,274
71,product_71,497
72,product_72,293
73,product_73,122
74,product_74,152
75,product_75,362
76,product_76,445
77,product_77,333
78,product_78,125
79,product_79,229
80,product_80,479
81,product_81,442
82,product_82,251
83,product_83,213
84,product_84,487
85,product_85,94
86,product_86,52
87,product_87,206
88,product_88,267
89,product_89,481
90,product_90,69
91,product_91,23
92,product_92,177
93,product_93,168
94,product_94,229
95,product_95,83
96,product_96,349
97,product_97,199
98,product_98,256
99,product_99,61
100,product_100,467
101,product_101,447
102,product_102,276
103,product_103,485
104,product_104,209
105,product_105,489
106,product_106,81
107,product_107,196
108,product_108,131
109,product_109,331
110,product_110,395
111,product_111,244
112,product_112,300
113,product_113,337
114,product_114,364
115,product_115,322
116,product_116,355
117,product_117,436
118,product_118,240
119,product_119,20
120,product_120,76
121,product_121,123
122,product_122,453
123,product_123,38
124,product_124,279
125,product_125,333
126,product_126,40
127,product_127,127
128,product_128,383
129,product_129,308
130,product_130,379
131,product_131,64
132,product_132,27
133,product_133,318
134,product_134,213
135,product_135,88
136,product_136,290
137,product_137,148
138,product_138,139
139,product_139,382
140,product_140,320
141,product_141,32
142,product_142,186
143,product_143,262
144,product_144,469
145,product_145,198
146,product_146,240
147,product_147,237
148,product_148,131
149,product_149,222
150,product_150,84
151,product_151,252
152,product_152,418
153,product_153,104
154,product_154,405
155,product_155,311
156,product_156,412
157,product_157,80
158,product_158,56
159,product_159,435
160,product_160,271
161,product_161,31
162,product_162,255
163,product_163,346
164,product_164,438
165,product_165,63
166,product_166,320
167,product_167,270
168,product_168,241
169,product_169,256
170,product_170,237
171,product_171,362
172,product_172,347
173,product_173,468
174,product_174,336
175,product_175,234
176,product_176,97
177,product_177,438
178,product_178,74
179,product_179,90
180,product_180,393
181,product_181,160
182,product_182,290
183,product_183,445
184,product_184,358
185,product_185,217
186,product_186,85
187,product_187,246
188,product_188,337
189,product_189,301
190,product_190,88
191,product_191,276
192,product_192,306
193,product_193,360
194,product_194,326
195,product_195,81
196,product_196,306
197,product_197,468
198,product_198,200
199,product_199,485
200,product_200,432
201,product_201,410
202,product_202,77
203,product_203,239
204,product_204,67
205,product_205,155
206,product_206,69
207,product_207,117
208,product_208,136
209,product_209,364
210,product_210,351
211,product_211,382
212,product_212,450
213,product_213,301
214,product_214,393
215,product_215,375
216,product_216,332
217,product_217,208
218,product_218,229
219,product_219,47
220,product_220,135
221,product_221,68
222,product_222,111
223,product_223,219
224,product_224,333
225,product_225,366
226,product_226,283
227,product_227,362
228,product_228,87
229,product_229,121
230,product_230,421
231,product_231,37
232,product_232,87
233,product_233,215
234,product_234,82
235,product_235,393
236,product_236,210
237,product_237,456
238,product_238,479
239,product_239,421
240,product_240,452
241,product_241,213
242,product_242,400
243,product_243,114
244,product_244,99
245,product_245,269
246,product_246,26
247,product_247,296
248,product_248,215
249,product_249,385
250,product_250,228
251,product_251,464
252,product_252,217
253,product_253,488
254,product_254,296
255,product_255,175
256,product_256,148
257,product_257,415
258,product_258,140
259,product_259,121
260,product_260,404
261,product_261,276
262,product_262,248
263,product_263,404
264,product_264,353
265,product_265,254
266,product_266,236
267,product_267,314
268,product_268,146
269,product_269,433
270,product_270,418
271,product_271,193
272,product_272,452
273,product_273,498
274,product_274,34
275,product_275,41
276,product_276,114
277,product_277,459
278,product_278,412
279,product_279,139
280,product_280,13
281,product_281,163
282,product_282,258
283,product_283,48
284,product_284,373
285,product_285,498
286,product_286,189
287,product_287,183
288,product_288,264
289,product_289,349
290,product_290,27
291,product_291,145
292,product_292,262
293,product_293,243
294,product_294,122
295,product_295,85
296,product_296,486
297,product_297,32
298,product_298,122
299,product_299,23
300,product_300,11
301,product_301,216
302,product_302,287
303,product_303,432
304,product_304,209
305,product_305,182
306,product_306,51
307,product_307,125
308,product_308,170
309,product_309,89
310,product_310,49
311,product_311,391
312,product_312,405
313,product_313,342
314,product_314,443
315,product_315,282
316,product_316,434
317,product_317,370
318,product_318,127
319,product_319,308
320,product_320,273
321,product_321,386
322,product_322,315
323,product_323,237
324,product_324,29
325,product_325,98
326,product_326,82
327,product_327,20
328,product_328,54
329,product_329,336
330,product_330,200
331,product_331,184
332,product_332,419
333,product_333,241
334,product_334,266
335,product_335,31
336,product_336,94
337,product_337,200
338,product_338,488
339,product_339,238
340,product_340,19
341,product_341,413
342,product_342,14
343,product_343,315
344,product_344,232
345,product_345,228
346,product_346,35
347,product_347,287
348,product_348,137
349,product_349,185
350,product_350,389
351,product_351,288
352,product_352,364
353,product_353,82
354,product_354,497
355,product_355,79
356,product_356,428
357,product_357,371
358,product_358,25
359,product_359,249
360,product_360,119
361,product_361,219
362,product_362,462
363,product_363,394
364,product_364,206
365,product_365,82
366,product_366,260
367,product_367,176
368,product_368,334
369,product_369,401
370,product_370,54
371,product_371,391
372,product_372,121
373,product_373,270
374,product_374,188
375,product_375,342
376,product_376,495
377,product_377,66
378,product_378,433
379,product_379,302
380,product_380,424
381,product_381,130
382,product_382,407
383,product_383,77
384,product_384,293
385,product_385,119
386,product_386,301
387,product_387,129
388,product_388,157
389,product_389,259
390,product_390,385
391,product_391,493
392,product_392,17
393,product_393,94
394,product_394,241
395,product_395,173
396,product_396,356
397,product_397,73
398,product_398,303
399,product_399,259
400,product_400,146
401,product_401,127
402,product_402,316
403,product_403,141
404,product_404,365
405,product_405,47
406,product_406,478
407,product_407,390
408,product_408,441
409,product_409,407
410,product_410,86
411,product_411,129
412,product_412,498
413,product_413,334
414,product_414,193
415,product_415,130
416,product_416,231
417,product_417,296
418,product_418,152
419,product_419,216
420,product_420,239
421,product_421,160
422,product_422,171
423,product_423,368
424,product_424,419
425,product_425,131
426,product_426,377
427,product_427,342
428,product_428,91
429,product_429,397
430,product_430,365
431,product_431,292
432,product_432,150
433,product_433,202
434,product_434,105
435,product_435,203
436,product_436,143
437,product_437,272
438,product_438,477
439,product_439,424
440,product_440,107
441,product_441,64
442,product_442,310
443,product_443,482
444,product_444,462
445,product_445,426
446,product_446,65
447,product_447,248
448,product_448,30
449,product_449,135
450,product_450,266
451,product_451,371
452,product_452,297
453,product_453,299
454,product_454,129
455,product_455,429
456,product_456,316
457,product_457,398
458,product_458,339
459,product_459,171
460,product_460,254
461,product_461,210
462,product_462,342
463,product_463,260
464,product_464,203
465,product_465,62
466,product_466,113
467,product_467,494
468,product_468,256
469,product_469,364
470,product_470,264
471,product_471,133
472,product_472,394
473,product_473,278
474,product_474,192
475,product_475,68
476,product_476,384
477,product_477,330
478,product_478,24
479,product_479,461
480,product_480,10
481,product_481,264
482,product_482,346
483,product_483,353
484,product_484,324
485,product_485,179
486,product_486,486
487,product_487,129
488,product_488,187
489,product_489,315
490,product_490,74
491,product_491,475
492,product_492,332
493,product_493,302
494,product_494,104
495,product_495,151
